q,eps,B_i,mu_i,sig_i,thresh,mean_abs_belief,score,N_i
0.05,0.35,-0.38996008172341284,2.3741935483870966,1.0420103838054477,0.5322168137473082,0.7087199861452762,4.0,155.0
0.1786,0.35,-0.4589575703839221,2.216867469879518,0.8221070896015412,0.5150945736855667,0.6693915111387743,8.0,166.0
0.3071,0.35,-0.34425291405889746,2.1028571428571428,1.0258058057061328,0.49379487685105233,0.6127411387591921,25.0,175.0
0.4357,0.35,-0.36047527302021704,1.7621359223300972,0.828335153881681,0.4683789335187336,0.6286438679848242,46.0,206.0
0.5643,0.35,-0.2983995556618193,1.5269709543568464,0.8251108030626096,0.44311070772453115,0.6300963975382977,62.0,241.0
0.6929,0.35,-0.27388144851848195,1.4603174603174602,0.8323879747382155,0.409633517645344,0.6033418269028578,46.0,252.0
0.8214,0.35,-0.33738091597068615,1.2348993288590604,0.6118435311775755,0.3681008613632963,0.5916554410352401,75.0,298.0
0.95,0.35,-0.5466399387159282,1.0760233918128654,0.31541021193360935,0.3145685546363655,0.6252645566422502,64.0,342.0
0.05,0.35,-0.3738672907976321,2.4210526315789473,1.10338185753877,0.5322168137473082,0.6944741768732813,5.0,152.0
0.1786,0.35,-0.4002178755248741,2.1904761904761907,0.9382885950113349,0.5150945736855667,0.6777290874919318,13.0,168.0
0.3071,0.35,-0.38997169153764005,1.9945652173913044,0.8753712417963496,0.49379487685105233,0.6712163454190654,7.0,184.0
0.4357,0.35,-0.3284760032527328,1.7644230769230769,0.8918884749648623,0.4683789335187336,0.647630559247602,39.0,208.0
0.5643,0.35,-0.30289343813419733,1.512396694214876,0.8092002222308724,0.44311070772453115,0.6462966534323239,71.0,242.0
0.6929,0.35,-0.3647297703206788,1.3579335793357934,0.6321066599369405,0.409633517645344,0.5850603391689073,91.0,271.0
0.8214,0.35,-0.39018771661873347,1.1986970684039089,0.5258140232627974,0.3681008613632963,0.6096391210073386,70.0,307.0
0.95,0.35,-0.6820161744666545,1.0337078651685394,0.19542165315647286,0.3145685546363655,0.6334748572276279,97.0,356.0
0.05,0.35,-0.46788508020538727,2.2576687116564416,0.8184150255534869,0.5322168137473082,0.7108475190662882,7.0,163.0
0.1786,0.35,-0.36301044615214606,2.265432098765432,1.0587274557865851,0.5150945736855667,0.6263183304519986,14.0,162.0
0.3071,0.35,-0.345500994905106,1.9015544041450778,0.9249829397075569,0.49379487685105233,0.6210387745471173,33.0,193.0
0.4357,0.35,-0.346864253732885,1.7116279069767442,0.8300208185468607,0.4683789335187336,0.7065914197028227,41.0,215.0
0.5643,0.35,-0.2932317139112653,1.6069868995633187,0.8782396569415919,0.44311070772453115,0.6173036791523717,58.0,229.0
0.6929,0.35,-0.2965263713537187,1.483739837398374,0.805052539187354,0.409633517645344,0.6092579283101759,82.0,246.0
0.8214,0.35,-0.4294378804120438,1.1719745222929936,0.4677952618338482,0.3681008613632963,0.6264392460959413,117.0,314.0
0.95,0.35,-0.5085575492188321,1.0760233918128654,0.3505358963893733,0.3145685546363655,0.6156158282712765,98.0,342.0
0.05,0.35,-0.5302969774406007,2.383116883116883,0.7314640358137824,0.5322168137473082,0.7336563911138019,-2.0,154.0
0.1786,0.35,-0.37661310076022037,2.073446327683616,0.9389415778776148,0.5150945736855667,0.7095983136307156,18.0,177.0
0.3071,0.35,-0.39046439525149723,1.978494623655914,0.8673094550570227,0.49379487685105233,0.6706992266788586,15.0,186.0
0.4357,0.35,-0.3386367335824406,1.7692307692307692,0.8741013982587317,0.4683789335187336,0.6376812830316472,47.0,208.0
0.5643,0.35,-0.26270271027014874,1.6576576576576576,0.9679131028628616,0.44311070772453115,0.6395098355551162,66.0,222.0
0.6929,0.35,-0.3460542077700317,1.3954372623574145,0.6779372782848888,0.409633517645344,0.6350357593870455,51.0,263.0
0.8214,0.35,-0.3865047847504508,1.2225913621262459,0.5409674449878503,0.3681008613632963,0.605081812144971,92.0,301.0
0.95,0.35,-0.5767169894367103,1.0544412607449856,0.28307367415996487,0.3145685546363655,0.6161819464357502,113.0,349.0
0.05,0.35,-0.5023287433770269,2.4078947368421053,0.7976549771698778,0.5322168137473082,0.7020341835214744,4.0,152.0
0.1786,0.35,-0.3781838793012385,2.2035928143712575,0.9942283870906472,0.5150945736855667,0.6721461114034147,14.0,167.0
0.3071,0.35,-0.349641005322715,1.9891891891891893,0.9585416241815125,0.49379487685105233,0.6719892713763059,16.0,185.0
0.4357,0.35,-0.29859877638611715,1.7149532710280373,0.9262832713327941,0.4683789335187336,0.61583970604614,28.0,214.0
0.5643,0.35,-0.3165936942661182,1.4898785425101215,0.7733535373618604,0.44311070772453115,0.6105476881715411,50.0,247.0
0.6929,0.35,-0.3431968244407237,1.400763358778626,0.6849523506251267,0.409633517645344,0.5966778994794262,67.0,262.0
0.8214,0.35,-0.40435687309509954,1.239057239057239,0.5255330339642441,0.3681008613632963,0.6300250497088397,68.0,297.0
0.95,0.35,-0.6910562266368299,1.0308123249299719,0.18832197550668472,0.3145685546363655,0.620309324665685,100.0,357.0
0.05,0.35,-0.4364151080635923,2.310126582278481,0.9063901047295312,0.5322168137473082,0.7194902930129581,5.0,158.0
0.1786,0.35,-0.30896069595224634,2.329113924050633,1.2296085513499637,0.5150945736855667,0.6487517276418153,16.0,158.0
